Country,Year,Disease Name,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%),Prevalence Category,Disease Category_Bacterial,Disease Category_Cardiovascular,Disease Category_Chronic,Disease Category_Genetic,Disease Category_Infectious,Disease Category_Metabolic,Disease Category_Neurological,Disease Category_Parasitic,Disease Category_Respiratory,Disease Category_Viral
Mexico,2004,Tuberculosis,6.13,4.66,6.1,36-60,0,60.89,4.97,3.1,Medication,11898,Yes,63.14,617,6.91,42961,0.61,64.17,Medium,False,False,False,False,False,False,False,False,False,True
China,2008,Cholera,4.07,7.28,4.01,36-60,2,71.74,4.6,9.14,Therapy,25602,Yes,97.41,1840,8.45,47206,0.48,42.03,Low,False,False,False,False,False,True,False,False,False,False
UK,2010,Malaria,16.82,5.15,3.41,61+,1,50.78,3.31,5.56,Vaccination,26332,Yes,86.01,3822,1.98,93670,0.89,40.64,Very High,False,False,True,False,False,False,False,False,False,False
Mexico,2001,Leprosy,12.64,1.89,6.5,0-18,2,96.79,0.85,8.16,Medication,28555,No,93.26,2992,5.37,26242,0.87,33.62,High,False,False,False,False,False,False,False,False,True,False
France,2012,Malaria,0.37,13.79,1.49,36-60,1,56.89,1.49,0.64,Medication,6805,No,86.24,4340,5.47,23700,0.87,30.45,Low,True,False,False,False,False,False,False,False,False,False
China,2006,COVID-19,8.61,3.33,10.0,0-18,1,62.41,3.13,6.47,Vaccination,2602,Yes,69.44,4700,0.39,47921,0.68,27.63,Medium,False,True,False,False,False,False,False,False,False,False
Saudi Arabia,2015,Tuberculosis,2.95,12.45,4.37,19-35,0,93.47,1.71,2.85,Therapy,43779,No,79.25,3038,9.18,84042,0.53,84.37,Low,True,False,False,False,False,False,False,False,False,False
UK,2020,Diabetes,17.62,10.46,4.16,19-35,2,76.98,2.56,4.96,Vaccination,7204,Yes,78.03,4028,3.98,8023,0.86,32.27,Very High,False,False,False,False,False,False,True,False,False,False
Brazil,2016,Leprosy,1.22,11.06,9.54,61+,0,77.08,2.28,4.37,Medication,20016,No,86.81,2023,0.05,15506,0.41,36.11,Low,False,False,False,False,False,False,False,False,False,False
Mexico,2012,Parkinson's Disease,9.55,0.62,7.03,61+,1,91.33,2.04,7.34,Therapy,18387,No,58.55,4803,3.1,38790,0.54,66.61,Medium,False,False,False,False,False,False,False,False,False,False
Brazil,2003,Diabetes,16.63,0.89,5.41,36-60,1,63.61,1.67,3.36,Vaccination,19941,No,68.2,3956,1.85,33890,0.56,39.02,Very High,True,False,False,False,False,False,False,False,False,False
Saudi Arabia,2008,Malaria,14.41,7.72,0.82,0-18,1,82.7,1.8,8.94,Medication,20961,No,61.3,3664,4.71,15078,0.66,72.63,High,False,True,False,False,False,False,False,False,False,False
Nigeria,2019,Alzheimer's Disease,8.28,7.35,1.64,36-60,1,75.78,2.31,5.3,Surgery,22063,Yes,76.1,2367,7.59,84906,0.78,27.88,Medium,True,False,False,False,False,False,False,False,False,False
South Africa,2023,Diabetes,1.61,15.0,7.66,36-60,2,57.01,3.38,1.03,Medication,21433,No,74.88,3859,7.5,77985,0.54,56.89,Low,False,False,False,False,False,False,False,False,False,True
China,2014,HIV/AIDS,6.35,9.01,0.93,36-60,2,92.61,4.3,6.49,Surgery,40331,No,98.08,4498,2.09,74627,0.75,57.4,Medium,False,False,False,False,True,False,False,False,False,False
Italy,2013,Cholera,19.37,8.2,9.63,61+,0,94.48,4.24,8.08,Therapy,3602,No,74.67,205,9.35,55506,0.65,42.64,Very High,False,False,False,True,False,False,False,False,False,False
India,2008,Polio,7.17,3.84,5.03,19-35,0,86.03,2.51,3.21,Medication,19018,No,57.35,1601,4.26,59182,0.48,59.32,Medium,False,True,False,False,False,False,False,False,False,False
South Africa,2023,Leprosy,11.64,14.13,1.66,19-35,0,54.95,2.61,6.72,Surgery,4187,No,93.79,2250,0.1,45135,0.74,75.45,High,False,True,False,False,False,False,False,False,False,False
India,2011,Asthma,10.99,10.6,6.78,19-35,0,72.84,3.92,8.43,Surgery,30635,Yes,53.72,3568,7.51,58653,0.67,42.11,High,False,False,False,False,False,False,False,False,True,False
Indonesia,2002,Rabies,1.06,8.93,7.21,19-35,2,80.37,0.7,6.04,Therapy,4187,Yes,98.6,1068,8.26,46382,0.63,55.16,Low,True,False,False,False,False,False,False,False,False,False
South Korea,2014,Cholera,1.76,11.18,0.7,61+,0,69.11,3.19,9.52,Vaccination,5012,Yes,68.24,1613,2.25,54667,0.47,74.3,Low,False,False,False,False,False,False,False,False,False,False
South Africa,2006,Hypertension,7.96,5.0,8.96,36-60,0,74.48,0.79,6.04,Therapy,17728,Yes,67.57,3704,7.53,60428,0.87,24.23,Medium,False,False,False,False,True,False,False,False,False,False
Indonesia,2015,Polio,11.48,14.01,0.15,19-35,2,75.02,2.73,2.97,Medication,32658,Yes,95.15,1586,7.64,17590,0.87,69.32,High,False,True,False,False,False,False,False,False,False,False
Nigeria,2022,Leprosy,0.28,6.25,2.84,61+,2,90.83,4.97,4.99,Surgery,39024,No,65.49,3224,3.83,30152,0.68,84.92,Low,False,True,False,False,False,False,False,False,False,False
Russia,2021,Diabetes,14.29,1.57,7.12,0-18,0,70.1,2.61,4.03,Vaccination,38676,No,87.97,2370,0.24,87314,0.75,39.47,High,False,False,False,False,False,False,False,False,False,False
Saudi Arabia,2021,Rabies,9.16,3.33,0.69,0-18,0,66.31,4.04,4.64,Therapy,20394,Yes,77.17,2572,3.13,26387,0.47,40.57,Medium,False,False,False,False,False,True,False,False,False,False
Saudi Arabia,2017,Dengue,13.17,9.76,0.74,19-35,0,50.67,1.59,8.59,Medication,37423,No,69.0,626,0.51,35294,0.43,83.28,High,False,False,False,False,False,False,True,False,False,False
USA,2007,Cholera,7.65,9.99,8.25,36-60,0,52.81,4.9,2.86,Medication,25703,Yes,56.93,2456,2.36,33709,0.69,66.64,Medium,False,False,False,False,False,False,False,False,False,True
Nigeria,2013,Tuberculosis,4.54,0.6,9.16,19-35,2,90.39,0.66,2.8,Therapy,8058,No,71.75,2072,1.14,91960,0.56,56.56,Low,False,False,False,False,False,True,False,False,False,False
Argentina,2005,Cancer,9.38,4.61,4.84,0-18,2,81.15,3.99,2.92,Therapy,41219,No,95.25,3880,6.6,88253,0.87,39.71,Medium,False,False,False,True,False,False,False,False,False,False
Turkey,2024,Diabetes,0.37,8.68,7.71,36-60,1,56.7,4.33,4.88,Surgery,18600,Yes,53.89,929,8.28,82343,0.83,32.52,Low,False,False,False,True,False,False,False,False,False,False
China,2017,Alzheimer's Disease,3.52,5.49,2.83,36-60,2,86.56,3.54,4.76,Therapy,45985,Yes,96.65,4494,9.87,97358,0.73,70.2,Low,False,False,False,False,False,False,False,False,False,True
Italy,2010,COVID-19,17.22,8.78,9.1,0-18,0,52.7,4.15,2.42,Surgery,4459,Yes,81.48,137,5.25,32184,0.74,69.79,Very High,False,True,False,False,False,False,False,False,False,False
South Korea,2012,HIV/AIDS,4.39,2.76,6.87,19-35,2,81.58,3.06,2.11,Medication,11590,Yes,82.13,212,4.62,76924,0.75,27.23,Low,False,True,False,False,False,False,False,False,False,False
Australia,2010,Tuberculosis,11.82,4.45,4.54,19-35,2,54.82,0.99,1.76,Therapy,32354,Yes,54.41,904,9.09,70303,0.59,88.26,High,False,True,False,False,False,False,False,False,False,False
Argentina,2020,Measles,12.94,13.73,4.17,19-35,2,56.38,4.13,7.6,Vaccination,12360,Yes,87.24,3487,8.1,99165,0.89,63.13,High,False,False,False,False,False,True,False,False,False,False
Turkey,2003,Alzheimer's Disease,18.94,8.12,2.01,19-35,1,96.57,1.56,8.09,Medication,30992,No,73.23,53,3.41,89978,0.6,25.04,Very High,False,False,True,False,False,False,False,False,False,False
Germany,2014,Influenza,7.11,14.37,3.83,36-60,0,83.88,4.56,2.68,Medication,5554,No,70.15,3384,9.02,48461,0.49,54.34,Medium,False,False,False,False,False,False,False,True,False,False
Turkey,2020,Influenza,14.07,5.22,5.6,36-60,1,84.13,0.61,1.52,Vaccination,47937,Yes,68.8,2584,5.49,14637,0.61,35.6,High,False,True,False,False,False,False,False,False,False,False
South Korea,2014,Ebola,15.53,0.28,4.91,19-35,2,55.94,1.15,3.4,Therapy,3691,Yes,60.86,3422,3.41,90484,0.77,49.54,Very High,False,False,False,False,False,False,False,False,False,False
Nigeria,2007,Malaria,5.4,10.35,8.46,61+,2,70.61,4.85,4.59,Medication,42325,Yes,78.16,1721,7.62,32308,0.54,34.73,Medium,False,False,False,False,False,False,False,False,True,False
South Africa,2005,Rabies,8.11,13.14,9.33,36-60,0,63.96,0.61,1.57,Surgery,32127,Yes,51.47,2488,0.65,98783,0.6,68.8,Medium,False,False,False,False,False,False,True,False,False,False
Germany,2019,Malaria,19.35,12.71,7.71,61+,2,93.86,2.18,4.15,Therapy,34887,Yes,56.22,4389,1.03,69665,0.52,40.33,Very High,False,True,False,False,False,False,False,False,False,False
France,2008,Parkinson's Disease,12.61,0.71,2.96,61+,1,59.71,1.93,5.98,Medication,408,No,63.35,253,0.73,7230,0.43,24.67,High,False,False,False,True,False,False,False,False,False,False
Japan,2021,Hepatitis,0.11,3.81,9.92,0-18,2,76.56,2.41,7.92,Surgery,6845,No,83.63,2055,6.13,12063,0.5,81.72,Low,False,False,False,False,False,False,False,False,False,False
Japan,2019,Dengue,19.36,10.62,9.03,36-60,1,65.13,4.61,2.04,Vaccination,49394,No,92.42,4931,8.51,7228,0.62,58.16,Very High,False,False,False,False,False,False,False,False,False,True
UK,2019,Ebola,9.85,0.28,8.56,0-18,1,68.77,3.07,3.46,Surgery,14497,No,52.98,893,6.97,31797,0.65,40.16,Medium,False,False,False,False,True,False,False,False,False,False
Brazil,2011,Rabies,16.56,8.46,1.46,36-60,2,67.02,2.04,2.24,Medication,26886,Yes,87.45,1658,7.57,42256,0.77,87.84,Very High,False,False,False,True,False,False,False,False,False,False
Canada,2019,HIV/AIDS,13.73,0.58,8.07,36-60,0,87.26,4.84,1.27,Surgery,29201,No,92.88,4398,8.46,19062,0.53,52.06,High,False,False,False,False,False,False,False,False,False,True
Indonesia,2019,COVID-19,13.48,13.43,0.92,61+,0,91.52,0.73,7.33,Vaccination,42484,No,90.01,4394,7.55,85306,0.43,77.69,High,True,False,False,False,False,False,False,False,False,False
Canada,2018,Alzheimer's Disease,10.112124838292369,9.48,7.37,19-35,0,91.6,1.61,4.27,Surgery,24926,No,74.91,4930,8.72,82686,0.76,44.04,High,False,False,False,True,False,False,False,False,False,False
Argentina,2010,Ebola,12.8,4.04,6.93,19-35,0,58.15,1.33,0.55,Vaccination,15643,No,54.26,4077,6.15,25263,0.74,20.39,High,False,False,False,True,False,False,False,False,False,False
Saudi Arabia,2014,Cholera,7.49,4.17,9.67,36-60,1,78.95,2.65,6.38,Surgery,20500,Yes,78.75,1146,7.4,35576,0.54,27.16,Medium,False,False,False,False,False,False,False,False,False,False
Argentina,2005,Zika,8.69,9.63,7.25,61+,2,84.05,1.41,5.62,Medication,5777,No,84.29,1901,4.44,62163,0.49,37.63,Medium,False,False,False,False,False,False,True,False,False,False
Japan,2014,Influenza,16.3,5.1,2.75,36-60,0,95.3,2.08,8.88,Therapy,13620,No,98.17,2995,6.32,43410,0.51,53.12,Very High,False,False,False,False,False,False,False,True,False,False
Australia,2020,HIV/AIDS,19.23,8.08,4.5,61+,2,78.38,1.43,6.36,Therapy,40384,Yes,71.02,1009,1.64,7528,0.65,43.89,Very High,False,False,False,False,False,False,False,False,False,False
Russia,2000,Tuberculosis,16.13,11.46,6.55,19-35,1,56.54,1.39,4.81,Therapy,4744,Yes,72.43,2970,8.15,77856,0.78,72.54,Very High,False,False,False,True,False,False,False,False,False,False
Germany,2003,Rabies,9.33,2.91,9.47,61+,1,64.08,1.37,0.56,Medication,16299,Yes,73.61,1211,0.04,5425,0.66,46.36,Medium,False,False,False,True,False,False,False,False,False,False
Canada,2008,Alzheimer's Disease,15.89,2.99,4.15,61+,2,87.34,1.01,7.72,Therapy,36844,No,54.26,4358,6.35,41042,0.74,22.48,Very High,False,False,False,False,False,False,False,False,False,True
Argentina,2004,Parkinson's Disease,17.4,7.78,0.38,36-60,2,71.58,1.54,6.73,Medication,46039,No,70.84,3782,1.72,93113,0.68,64.96,Very High,False,False,False,False,False,False,False,False,False,True
Indonesia,2011,Diabetes,14.12,0.6,0.35,36-60,0,52.7,4.12,9.26,Therapy,31075,No,92.35,4582,6.09,98089,0.8,34.19,High,False,False,False,False,False,False,False,False,False,True
Italy,2023,COVID-19,4.75,4.81,1.8,19-35,1,67.12,1.42,4.83,Therapy,1228,No,97.53,3629,0.71,83755,0.66,42.38,Low,False,False,False,False,False,False,True,False,False,False
Turkey,2014,Hepatitis,5.37,7.9,0.37,19-35,1,99.89,3.49,5.11,Surgery,48872,No,96.5,1454,8.84,15373,0.42,79.4,Medium,False,False,False,False,False,False,False,False,False,True
Saudi Arabia,2018,Cancer,17.25,7.68,1.42,61+,2,59.77,4.55,7.05,Therapy,43174,Yes,71.62,1526,7.94,76551,0.55,36.83,Very High,False,False,False,True,False,False,False,False,False,False
UK,2014,Zika,7.72,0.19,1.47,0-18,2,74.33,1.35,1.9,Medication,19614,Yes,66.85,4547,0.0,37449,0.79,79.34,Medium,False,False,False,False,False,False,False,True,False,False
Brazil,2024,Diabetes,1.64,3.79,4.79,19-35,1,63.95,3.32,1.33,Surgery,16805,No,72.95,2833,8.87,37649,0.61,81.23,Low,False,False,False,False,False,False,False,False,False,False
UK,2023,Zika,2.86,8.33,6.75,36-60,1,52.84,0.75,9.23,Vaccination,35502,No,91.38,3664,4.15,23716,0.72,86.72,Low,False,False,False,False,False,True,False,False,False,False
UK,2017,Tuberculosis,0.17,1.71,3.77,61+,0,85.84,3.55,3.05,Therapy,44071,Yes,98.09,2499,2.64,76815,0.66,34.18,Low,False,True,False,False,False,False,False,False,False,False
Argentina,2009,Rabies,6.49,13.1,9.53,19-35,1,86.27,3.62,9.32,Therapy,19374,Yes,74.37,1015,3.67,78590,0.71,37.56,Medium,False,True,False,False,False,False,False,False,False,False
Turkey,2009,Parkinson's Disease,0.13,4.88,5.56,36-60,2,77.83,1.09,7.68,Surgery,16925,No,92.6,1011,9.73,4928,0.56,21.46,Low,False,False,False,False,False,False,False,True,False,False
Australia,2009,Rabies,17.61,12.97,2.56,61+,2,99.85,1.82,8.84,Surgery,43832,Yes,73.55,3392,9.43,78570,0.6,54.21,Very High,False,False,False,False,False,False,False,False,False,True
Brazil,2005,Alzheimer's Disease,17.15,1.22,8.25,36-60,1,76.5,4.37,4.12,Surgery,10789,Yes,83.9,2260,8.9,58654,0.62,75.74,Very High,False,False,True,False,False,False,False,False,False,False
South Korea,2002,Parkinson's Disease,3.09,3.4,1.6,19-35,0,90.56,4.18,7.86,Medication,42689,Yes,68.19,3121,8.0,9102,0.48,32.58,Low,False,False,False,True,False,False,False,False,False,False
India,2014,Zika,10.26,13.34,3.95,19-35,1,75.71,4.58,8.32,Surgery,44340,No,66.46,901,4.55,4342,0.5,50.28,High,False,False,False,False,False,False,False,False,False,False
Mexico,2004,Parkinson's Disease,6.91,5.32,7.61,61+,1,63.04,2.96,8.09,Vaccination,21168,Yes,70.61,2352,6.14,82156,0.83,45.25,Medium,False,False,False,False,False,False,False,False,False,True
Russia,2019,COVID-19,10.66,7.03,1.13,61+,2,98.57,2.03,9.85,Medication,35675,Yes,90.85,3795,7.71,69915,0.48,77.4,High,False,False,False,False,False,False,False,False,False,True
USA,2007,COVID-19,4.32,1.02,1.14,0-18,2,68.29,2.88,3.85,Vaccination,7463,Yes,70.41,3385,5.39,33938,0.6,49.29,Low,False,False,False,False,False,False,False,True,False,False
Argentina,2017,Hypertension,9.96,9.2,1.21,19-35,1,53.13,4.8,2.92,Vaccination,49907,Yes,92.06,4274,1.89,86501,0.43,35.59,Medium,False,False,False,True,False,False,False,False,False,False
USA,2005,Parkinson's Disease,10.91,5.63,3.89,19-35,1,82.81,4.23,6.06,Vaccination,24666,Yes,92.74,4493,3.68,726,0.72,34.73,High,False,False,False,False,False,False,False,False,False,False
China,2009,Hypertension,3.09,14.43,1.93,19-35,0,89.17,4.01,0.96,Therapy,21610,Yes,52.32,930,3.48,55063,0.74,38.58,Low,False,False,True,False,False,False,False,False,False,False
Germany,2009,Influenza,3.16,2.48,6.68,19-35,0,56.43,0.88,1.45,Surgery,35291,No,75.1,4163,3.37,54973,0.87,59.81,Low,False,True,False,False,False,False,False,False,False,False
Germany,2016,Asthma,19.77,5.03,5.8,36-60,0,82.96,4.08,4.44,Vaccination,37109,No,68.27,4048,3.92,72581,0.77,56.65,Very High,False,False,True,False,False,False,False,False,False,False
Indonesia,2021,Polio,5.63,11.51,1.18,0-18,0,92.63,4.26,1.32,Therapy,15300,Yes,82.47,3782,9.42,19980,0.59,51.06,Medium,False,False,False,False,False,False,False,False,False,False
Japan,2004,Asthma,9.39,3.09,0.81,19-35,1,99.35,1.75,4.71,Medication,43028,Yes,55.81,3053,3.04,31856,0.78,46.71,Medium,False,False,False,True,False,False,False,False,False,False
Turkey,2013,Cholera,14.94,7.76,4.11,36-60,2,75.54,0.64,2.61,Therapy,12347,Yes,78.42,3900,1.96,83096,0.73,48.96,High,False,False,False,False,False,True,False,False,False,False
Saudi Arabia,2022,Dengue,18.58,12.92,4.15,36-60,1,67.82,1.07,5.24,Surgery,1005,No,83.23,4650,9.34,6914,0.8,80.81,Very High,False,False,False,False,False,False,False,False,True,False
Brazil,2009,Diabetes,17.99,2.79,5.34,36-60,2,72.1,3.82,3.01,Medication,8438,No,70.74,1531,7.82,84507,0.87,50.99,Very High,False,False,False,False,False,False,True,False,False,False
Australia,2013,COVID-19,11.45,11.28,9.36,61+,0,52.03,4.66,5.91,Medication,13303,Yes,51.05,1780,9.1,14702,0.89,32.78,High,True,False,False,False,False,False,False,False,False,False
Indonesia,2016,Diabetes,17.39,14.6,2.52,19-35,0,77.35,0.86,1.44,Medication,17512,Yes,61.88,1605,5.03,18962,0.67,59.1,Very High,False,False,False,False,False,False,False,False,False,True
Japan,2004,Leprosy,7.49,0.31,2.76,36-60,2,89.55,3.97,7.95,Vaccination,4697,No,55.1,2252,7.88,81493,0.72,51.46,Medium,False,False,False,True,False,False,False,False,False,False
India,2024,Hepatitis,2.33,0.9,9.63,61+,2,82.87,1.57,2.66,Medication,47855,No,64.79,4838,3.63,80086,0.61,76.78,Low,False,False,False,True,False,False,False,False,False,False
Turkey,2009,Influenza,18.93,9.4,6.49,0-18,0,78.39,3.35,6.23,Medication,4329,No,57.07,1475,5.37,88908,0.71,89.09,Very High,True,False,False,False,False,False,False,False,False,False
South Korea,2004,Influenza,15.38,7.68,1.45,19-35,1,73.49,5.0,0.71,Therapy,1432,No,92.84,146,5.17,8829,0.77,76.35,Very High,False,False,False,False,False,False,False,True,False,False
China,2019,Asthma,2.02,11.08,9.76,61+,0,89.01,3.16,2.81,Surgery,26347,No,62.45,957,3.9,71637,0.8,71.52,Low,False,False,False,False,False,False,True,False,False,False
Germany,2008,Cancer,11.51,12.13,2.29,0-18,0,90.03,2.09,1.99,Surgery,16244,Yes,59.87,4444,5.59,41178,0.5,80.26,High,False,False,False,False,False,False,False,True,False,False
UK,2013,Cancer,4.18,3.05,2.01,0-18,2,94.61,2.39,9.25,Therapy,24036,Yes,95.38,1803,6.48,35658,0.45,52.95,Low,False,False,False,False,False,False,False,False,True,False
France,2018,Dengue,1.64,9.75,2.57,61+,1,65.28,1.89,7.61,Therapy,16427,No,78.32,858,4.79,84543,0.51,54.01,Low,False,False,False,False,True,False,False,False,False,False
Mexico,2004,Alzheimer's Disease,12.83,14.52,5.02,19-35,2,87.14,2.37,7.0,Surgery,19074,No,81.56,949,2.32,93473,0.5,39.84,High,False,False,False,True,False,False,False,False,False,False
Russia,2009,Zika,10.97,7.03,4.73,36-60,0,90.16,4.08,7.76,Medication,21309,Yes,52.97,4089,6.52,72174,0.79,48.7,High,False,False,False,False,False,False,False,False,False,False
Indonesia,2014,Cancer,11.18,9.82,5.16,36-60,2,80.59,3.14,8.0,Vaccination,41379,Yes,83.18,1501,2.58,50034,0.82,23.32,High,False,False,False,False,False,False,False,False,False,True
Nigeria,2006,Hypertension,1.61,6.09,4.67,19-35,0,71.46,3.26,5.13,Vaccination,39199,No,93.93,2021,9.76,58265,0.68,63.18,Low,False,False,False,True,False,False,False,False,False,False
Brazil,2012,COVID-19,16.96,10.94,1.14,0-18,0,55.18,4.19,7.33,Surgery,4420,No,69.43,3022,9.01,39858,0.63,52.51,Very High,True,False,False,False,False,False,False,False,False,False
South Korea,2003,COVID-19,15.58,13.67,3.44,0-18,0,88.31,3.04,3.33,Medication,44163,Yes,75.48,3260,3.52,10230,0.52,83.8,Very High,False,False,False,False,False,False,False,False,True,False
Indonesia,2001,COVID-19,6.8,4.31,2.88,36-60,2,92.98,4.55,3.23,Medication,23536,Yes,81.97,261,2.62,3910,0.69,38.9,Medium,True,False,False,False,False,False,False,False,False,False
South Africa,2014,Malaria,19.62,5.63,8.27,61+,2,83.64,1.9,7.25,Vaccination,20064,No,98.73,2685,2.99,79774,0.61,77.43,Very High,True,False,False,False,False,False,False,False,False,False
South Korea,2024,Zika,12.85,5.25,5.64,36-60,2,66.83,4.37,0.57,Medication,44064,Yes,76.57,563,9.09,51043,0.75,62.85,High,False,True,False,False,False,False,False,False,False,False
South Korea,2013,Hepatitis,7.38,10.15,0.84,19-35,2,72.94,4.85,4.38,Medication,26585,No,66.25,3464,8.3,51189,0.66,86.02,Medium,False,False,False,True,False,False,False,False,False,False
India,2014,Influenza,17.12,4.56,6.94,19-35,0,85.85,3.34,7.94,Therapy,35779,No,67.34,4390,4.05,61578,0.89,31.54,Very High,False,False,True,False,False,False,False,False,False,False
Brazil,2015,Rabies,1.21,7.98,3.26,36-60,0,68.12,1.05,2.27,Medication,12356,Yes,77.42,1254,4.79,73494,0.5,62.9,Low,False,False,False,False,False,False,False,False,False,True
Saudi Arabia,2009,Malaria,4.56,7.43,7.02,0-18,0,84.81,2.95,7.21,Vaccination,24082,Yes,98.2,704,4.91,41546,0.77,22.81,Low,False,False,False,False,True,False,False,False,False,False
Germany,2000,Diabetes,9.93,4.1,3.61,19-35,1,90.58,0.77,5.42,Surgery,7065,Yes,54.58,4908,4.87,61151,0.51,57.26,Medium,False,False,True,False,False,False,False,False,False,False
South Korea,2022,Asthma,11.33,3.04,3.83,61+,0,90.51,4.66,4.5,Surgery,13320,No,79.09,4252,0.78,54347,0.63,82.86,High,False,False,False,False,False,False,True,False,False,False
USA,2007,Malaria,17.17,3.89,7.71,61+,1,68.18,2.68,7.25,Vaccination,29107,No,51.97,2377,0.5,2947,0.64,75.1,Very High,False,False,False,False,False,False,True,False,False,False
India,2010,Cancer,3.3,1.19,3.05,36-60,0,92.16,0.69,6.79,Surgery,25335,No,64.45,1128,4.93,94817,0.73,49.71,Low,False,False,True,False,False,False,False,False,False,False
Indonesia,2021,Polio,3.21,1.55,4.64,61+,2,84.44,1.48,5.55,Surgery,3503,Yes,97.94,537,1.78,99110,0.83,38.99,Low,True,False,False,False,False,False,False,False,False,False
Argentina,2000,Influenza,19.42,10.09,5.62,0-18,2,61.25,1.13,4.77,Therapy,24943,No,73.44,4683,2.08,27129,0.89,46.02,Very High,False,False,False,False,False,False,False,False,False,False
Saudi Arabia,2020,Ebola,2.09,2.26,3.8,61+,0,65.56,3.79,1.07,Therapy,39159,No,77.89,2022,2.71,32541,0.59,29.75,Low,False,False,False,False,True,False,False,False,False,False
USA,2000,Hypertension,7.23,4.55,8.86,61+,0,60.47,3.56,3.18,Medication,46450,Yes,95.97,2018,3.1,31761,0.73,36.14,Medium,False,False,False,False,False,False,False,False,False,True
Japan,2009,Diabetes,4.33,2.7,5.8,0-18,2,75.72,2.8,4.69,Vaccination,25323,Yes,62.29,2221,5.77,5326,0.7,27.74,Low,False,False,False,False,False,False,False,False,True,False
South Africa,2021,Cholera,5.37,6.62,9.93,0-18,2,85.94,2.99,2.99,Therapy,22954,Yes,82.26,1005,8.39,38063,0.5,74.27,Medium,False,False,False,True,False,False,False,False,False,False
France,2015,Malaria,15.58,8.6,4.73,36-60,1,59.26,1.21,1.64,Medication,38794,Yes,58.12,3441,5.7,28531,0.87,67.78,Very High,False,False,False,False,False,False,False,True,False,False
China,2003,Diabetes,8.69,4.95,9.47,19-35,1,62.52,1.81,2.77,Medication,13043,No,94.97,4348,7.59,82643,0.68,21.35,Medium,False,False,False,False,False,False,False,True,False,False
Brazil,2000,Malaria,13.95,6.67,6.27,0-18,2,61.8,2.1,0.65,Vaccination,41257,Yes,62.89,4296,1.17,64482,0.82,22.01,High,False,False,False,False,True,False,False,False,False,False
Turkey,2006,Malaria,10.53,2.5,5.09,0-18,1,76.24,1.43,2.95,Vaccination,29311,Yes,93.53,110,6.45,51865,0.74,58.38,High,False,True,False,False,False,False,False,False,False,False
Saudi Arabia,2023,Cancer,18.07,5.44,6.75,19-35,2,65.0,0.96,3.17,Medication,34539,Yes,63.5,1189,6.66,61346,0.48,71.79,Very High,False,False,False,False,False,False,False,False,False,False
Canada,2008,Ebola,12.92,1.5,4.03,36-60,2,83.2,2.08,1.26,Surgery,49461,No,84.65,2881,0.41,4935,0.53,66.71,High,False,False,False,False,False,False,False,False,False,False
UK,2011,Hepatitis,1.33,0.82,9.21,36-60,0,74.13,3.93,2.36,Surgery,6524,Yes,88.87,3852,1.67,68428,0.66,87.05,Low,False,True,False,False,False,False,False,False,False,False
Saudi Arabia,2018,Parkinson's Disease,19.61,0.72,2.37,0-18,1,98.63,0.97,9.0,Therapy,15422,No,79.1,2240,1.4,31263,0.66,86.95,Very High,False,False,False,False,False,False,False,False,True,False
USA,2023,Malaria,5.27,13.6,8.47,36-60,2,61.42,2.01,6.68,Vaccination,30767,No,64.75,2416,0.8,75473,0.8,37.93,Medium,False,False,False,False,True,False,False,False,False,False
Saudi Arabia,2019,Cholera,9.78,6.65,0.45,0-18,1,55.92,3.7,1.86,Surgery,19117,No,63.78,1254,1.63,5697,0.65,69.04,Medium,False,False,False,True,False,False,False,False,False,False
Saudi Arabia,2021,Alzheimer's Disease,3.3,10.3,4.37,36-60,0,55.46,3.36,5.01,Therapy,37195,Yes,76.84,119,4.99,68219,0.49,21.34,Low,False,False,False,False,False,True,False,False,False,False
Argentina,2002,Leprosy,15.69,8.82,3.05,61+,2,58.33,3.64,2.69,Medication,8138,No,72.85,3182,3.03,94496,0.74,25.75,Very High,False,False,False,False,False,False,False,False,True,False
Argentina,2004,Polio,6.53,2.92,3.33,19-35,2,87.3,1.65,4.79,Surgery,42710,No,64.58,2332,7.28,17719,0.45,36.09,Medium,False,False,False,False,False,False,False,False,True,False
Saudi Arabia,2003,Polio,3.97,4.69,6.44,19-35,2,55.29,0.69,5.85,Medication,37548,No,69.73,36,0.23,77039,0.7,50.28,Low,False,False,False,False,True,False,False,False,False,False
Canada,2007,Alzheimer's Disease,12.86,13.61,2.19,36-60,2,59.43,2.95,9.93,Medication,41316,No,64.28,3168,3.86,59158,0.7,71.91,High,False,False,True,False,False,False,False,False,False,False
USA,2018,Polio,19.28,6.54,6.61,36-60,2,73.65,2.11,5.52,Medication,21164,No,80.99,3674,5.09,62566,0.46,28.01,Very High,False,False,False,True,False,False,False,False,False,False
India,2000,Leprosy,10.22,11.3,2.52,0-18,0,84.95,4.02,7.18,Surgery,45202,Yes,56.76,406,7.53,16844,0.46,83.88,High,False,False,False,False,False,True,False,False,False,False
